Country,Clicks,Impressions,CTR,Position
Malawi,1,54,1.85%,16.31
Mauritania,1,51,1.96%,18.14
South Sudan,1,15,6.67%,18
Niger,1,15,6.67%,18.4
Lesotho,1,10,10%,35.8
Djibouti,1,9,11.11%,9.67
Timor-Leste,1,7,14.29%,8
Vanuatu,1,6,16.67%,15.83
Comoros,1,5,20%,21
Equatorial Guinea,1,5,20%,44.2
St. Lucia,0,170,0%,18.52
Grenada,0,114,0%,19.02
St. Kitts & Nevis,0,99,0%,19.79
Laos,0,96,0%,23.86
Cayman Islands,0,74,0%,15.11
St. Vincent & Grenadines,0,69,0%,16.71
Chad,0,61,0%,5.79
Madagascar,0,57,0%,33.28
Tajikistan,0,49,0%,21.73
Réunion,0,49,0%,29.45
Fiji,0,41,0%,24.29
Dominica,0,36,0%,28.53
Turks & Caicos Islands,0,32,0%,17.97
Macau,0,29,0%,29.21
Sierra Leone,0,28,0%,16.5
Guinea,0,27,0%,14.15
Western Sahara,0,26,0%,19.23
Haiti,0,19,0%,34.63
Antarctica,0,14,0%,6.29
Sudan,0,14,0%,27.29
Burundi,0,12,0%,20.92
San Marino,0,11,0%,27.45
Papua New Guinea,0,11,0%,30.55
New Caledonia,0,9,0%,18.44
French Polynesia,0,6,0%,12.17
Anguilla,0,6,0%,14
Mayotte,0,4,0%,42.5
Micronesia,0,3,0%,7.33
Montserrat,0,3,0%,9.33
St. Barthélemy,0,2,0%,7
Guinea-Bissau,0,2,0%,9
Palau,0,1,0%,4
Tonga,0,1,0%,5
Samoa,0,1,0%,9
Kiribati,0,1,0%,12
Svalbard & Jan Mayen,0,1,0%,12
St. Pierre & Miquelon,0,1,0%,31
